epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.91304,2.26482,3.27262,2.10619,0.00333,0.90909,0.09495,0.03074,2.24807,4.05647,2.68902,8e-05,8e-05,8e-05
2,13.2802,1.97897,3.1552,2.06103,0.00333,0.90909,0.09463,0.02602,2.30811,3.8586,2.60091,0.00017406,0.00017406,0.00017406
3,19.6532,1.98655,3.0495,1.95365,0.00367,1,0.08394,0.02905,2.30034,3.91871,2.62027,0.00026152,0.00026152,0.00026152
4,26.0929,2.08927,2.96488,2.00372,0.00367,1,0.06626,0.02172,2.36104,3.94925,2.58025,0.00034238,0.00034238,0.00034238
5,32.1745,1.82644,2.59065,1.78112,0.00367,1,0.07392,0.02435,2.15756,3.84735,2.28022,0.00041664,0.00041664,0.00041664
6,38.2372,1.92964,2.6582,1.86466,0.00367,1,0.06906,0.02274,2.11415,3.83951,2.23669,0.0004843,0.0004843,0.0004843
7,44.3123,1.80357,2.68808,1.83924,0.00367,1,0.0424,0.01042,2.36097,3.71529,2.36032,0.00054536,0.00054536,0.00054536
8,50.5734,1.84813,2.45472,1.82072,0.003,0.81818,0.05173,0.01347,2.3531,3.84894,2.35986,0.00059982,0.00059982,0.00059982
9,56.9977,1.81819,2.5377,1.85528,0.003,0.81818,0.0313,0.00972,2.41833,3.9058,2.3874,0.00064768,0.00064768,0.00064768
10,63.2171,1.77911,2.62614,1.77351,0.00333,0.90909,0.03678,0.00769,2.56828,4.08346,2.43758,0.00068894,0.00068894,0.00068894
11,69.8705,1.56857,2.35499,1.68054,0.00333,0.90909,0.0412,0.01762,2.41091,4.08811,2.40997,0.0007236,0.0007236,0.0007236
12,76.3769,1.63695,2.31059,1.67685,0.00333,0.90909,0.0437,0.01606,2.65173,3.79507,2.54727,0.00075166,0.00075166,0.00075166
13,82.9149,1.64151,2.2772,1.67709,0.003,0.81818,0.027,0.0112,2.76476,4.08687,2.66903,0.00077312,0.00077312,0.00077312
14,89.7602,1.65446,2.24016,1.69588,0.003,0.81818,0.027,0.0112,2.76476,4.08687,2.66903,0.00078798,0.00078798,0.00078798
15,96.5544,1.50135,2.2405,1.61233,0.00267,0.72727,0.0214,0.00634,2.57533,3.8336,2.66825,0.00079624,0.00079624,0.00079624
16,102.778,1.63629,2.23463,1.65276,0.003,0.81818,0.05182,0.01169,2.3137,4.0145,2.50282,0.0007979,0.0007979,0.0007979
17,108.912,1.57622,2.28252,1.71661,0.003,0.81818,0.03973,0.01233,2.40008,3.80128,2.63057,0.00079296,0.00079296,0.00079296
18,115.033,1.59294,2.20938,1.64406,0.003,0.81818,0.03973,0.01233,2.40008,3.80128,2.63057,0.00078142,0.00078142,0.00078142
19,121.262,1.62197,2.1504,1.61253,0.00333,0.90909,0.02711,0.00674,2.48825,3.78538,2.59414,0.00076328,0.00076328,0.00076328
20,128.453,1.55499,1.99086,1.56656,0.12132,0.09091,0.02521,0.00751,2.58029,3.66158,2.70145,0.00073854,0.00073854,0.00073854
21,135.077,1.62911,2.54643,1.71093,0.12132,0.09091,0.02521,0.00751,2.58029,3.66158,2.70145,0.00068,0.00068,0.00068
22,141.417,1.48458,2.35542,1.57561,0.1414,0.09091,0.03462,0.01047,2.41923,3.72288,2.61392,0.000614,0.000614,0.000614
23,147.719,1.4344,2.18389,1.55407,0.14173,0.09091,0.05028,0.01484,2.38628,3.6548,2.56436,0.000548,0.000548,0.000548
24,153.774,1.44424,2.16532,1.54808,0.14173,0.09091,0.05028,0.01484,2.38628,3.6548,2.56436,0.000482,0.000482,0.000482
25,159.953,1.35829,2.12124,1.51119,0.43617,0.18182,0.17643,0.05175,2.24947,3.60167,2.52933,0.000416,0.000416,0.000416
26,166.144,1.40464,2.06043,1.54129,0.43617,0.18182,0.17643,0.05175,2.24947,3.60167,2.52933,0.00035,0.00035,0.00035
27,173.035,1.36544,1.94255,1.50522,0.53763,0.18182,0.19297,0.05731,2.20096,3.49391,2.45102,0.000284,0.000284,0.000284
28,179.486,1.29522,1.97339,1.46929,0.32956,0.18182,0.14241,0.0515,2.0035,3.66513,2.29643,0.000218,0.000218,0.000218
29,185.915,1.37791,2.15749,1.49971,0.32956,0.18182,0.14241,0.0515,2.0035,3.66513,2.29643,0.000152,0.000152,0.000152
30,192.124,1.31166,2.02285,1.45739,0.60203,0.18182,0.16987,0.0473,2.06161,3.68481,2.28644,8.6e-05,8.6e-05,8.6e-05
